sample_id,sample_group,label_type,label,chatgpt_label,doubao_label,human_label,mixed_reference,reference_source,regex_prediction,reference_internal_label,included_in_evaluation
P0001,一般代表樣本,領域,醫學領域,,,否,否,人工金標,否,否,是
P0001,一般代表樣本,領域,工程領域,,,是,是,人工金標,是,否,是
P0001,一般代表樣本,領域,商業領域,,,否,否,人工金標,否,否,是
P0001,一般代表樣本,領域,其他／未明領域,,,否,否,人工金標,否,否,是
P0001,一般代表樣本,任務,編製PPT,,,是,是,人工金標,否,否,是
P0001,一般代表樣本,任務,撰寫文檔,,,是,是,人工金標,是,否,是
P0001,一般代表樣本,任務,撰寫程式,,,是,是,人工金標,否,否,是
P0001,一般代表樣本,任務,問題回答,,,否,否,人工金標,是,否,是
P0001,一般代表樣本,任務,其他任務,,,否,否,人工金標,否,否,是
P0001,一般代表樣本,內部提示,Codex內部提示,,,否,否,人工金標,否,否,是
P0001,一般代表樣本,領域,數學領域,,,是,是,人工金標,,否,否
P0001,一般代表樣本,任務,教材編寫,,,是,是,人工金標,,否,否
P0002,高費用Prompt,領域,醫學領域,,,否,否,人工金標,否,是,否
P0002,高費用Prompt,領域,工程領域,,,否,否,人工金標,是,是,否
P0002,高費用Prompt,領域,商業領域,,,否,否,人工金標,否,是,否
P0002,高費用Prompt,領域,其他／未明領域,,,否,否,人工金標,否,是,否
P0002,高費用Prompt,任務,編製PPT,,,否,否,人工金標,否,是,否
P0002,高費用Prompt,任務,撰寫文檔,,,否,否,人工金標,是,是,否
P0002,高費用Prompt,任務,撰寫程式,,,否,否,人工金標,是,是,否
P0002,高費用Prompt,任務,問題回答,,,否,否,人工金標,是,是,否
P0002,高費用Prompt,任務,其他任務,,,否,否,人工金標,否,是,否
P0002,高費用Prompt,內部提示,Codex內部提示,,,是,是,人工金標,否,是,是
P0002,高費用Prompt,領域,數學領域,,,否,否,人工金標,,是,否
P0002,高費用Prompt,任務,教材編寫,,,否,否,人工金標,,是,否
P0003,多標籤Prompt,領域,醫學領域,,,否,否,人工金標,是,否,是
P0003,多標籤Prompt,領域,工程領域,,,否,否,人工金標,否,否,是
P0003,多標籤Prompt,領域,商業領域,,,否,否,人工金標,否,否,是
P0003,多標籤Prompt,領域,其他／未明領域,,,否,否,人工金標,否,否,是
P0003,多標籤Prompt,任務,編製PPT,,,否,否,人工金標,否,否,是
P0003,多標籤Prompt,任務,撰寫文檔,,,否,否,人工金標,是,否,是
P0003,多標籤Prompt,任務,撰寫程式,,,否,否,人工金標,是,否,是
P0003,多標籤Prompt,任務,問題回答,,,否,否,人工金標,是,否,是
P0003,多標籤Prompt,任務,其他任務,,,否,否,人工金標,否,否,是
P0003,多標籤Prompt,內部提示,Codex內部提示,,,否,否,人工金標,否,否,是
P0003,多標籤Prompt,領域,數學領域,,,是,是,人工金標,,否,否
P0003,多標籤Prompt,任務,教材編寫,,,是,是,人工金標,,否,否
P0004,一般代表樣本,領域,醫學領域,,,否,否,人工金標,否,否,是
P0004,一般代表樣本,領域,工程領域,,,否,否,人工金標,否,否,是
P0004,一般代表樣本,領域,商業領域,,,否,否,人工金標,否,否,是
P0004,一般代表樣本,領域,其他／未明領域,,,是,是,人工金標,是,否,是
P0004,一般代表樣本,任務,編製PPT,,,否,否,人工金標,否,否,是
P0004,一般代表樣本,任務,撰寫文檔,,,是,是,人工金標,否,否,是
P0004,一般代表樣本,任務,撰寫程式,,,否,否,人工金標,否,否,是
P0004,一般代表樣本,任務,問題回答,,,否,否,人工金標,是,否,是
P0004,一般代表樣本,任務,其他任務,,,否,否,人工金標,否,否,是
P0004,一般代表樣本,內部提示,Codex內部提示,,,否,否,人工金標,否,否,是
P0004,一般代表樣本,領域,數學領域,,,否,否,人工金標,,否,否
P0004,一般代表樣本,任務,教材編寫,,,是,是,人工金標,,否,否
P0005,高費用Prompt,領域,醫學領域,,,否,否,人工金標,否,否,是
P0005,高費用Prompt,領域,工程領域,,,是,是,人工金標,是,否,是
P0005,高費用Prompt,領域,商業領域,,,否,否,人工金標,否,否,是
P0005,高費用Prompt,領域,其他／未明領域,,,否,否,人工金標,否,否,是
P0005,高費用Prompt,任務,編製PPT,,,否,否,人工金標,否,否,是
P0005,高費用Prompt,任務,撰寫文檔,,,是,是,人工金標,否,否,是
P0005,高費用Prompt,任務,撰寫程式,,,是,是,人工金標,是,否,是
P0005,高費用Prompt,任務,問題回答,,,是,是,人工金標,是,否,是
P0005,高費用Prompt,任務,其他任務,,,否,否,人工金標,否,否,是
P0005,高費用Prompt,內部提示,Codex內部提示,,,否,否,人工金標,否,否,是
P0005,高費用Prompt,領域,數學領域,,,否,否,人工金標,,否,否
P0005,高費用Prompt,任務,教材編寫,,,否,否,人工金標,,否,否
P0006,一般代表樣本,領域,醫學領域,,,否,否,人工金標,是,否,是
P0006,一般代表樣本,領域,工程領域,,,是,是,人工金標,是,否,是
P0006,一般代表樣本,領域,商業領域,,,否,否,人工金標,否,否,是
P0006,一般代表樣本,領域,其他／未明領域,,,否,否,人工金標,否,否,是
P0006,一般代表樣本,任務,編製PPT,,,是,是,人工金標,是,否,是
P0006,一般代表樣本,任務,撰寫文檔,,,否,否,人工金標,是,否,是
P0006,一般代表樣本,任務,撰寫程式,,,否,否,人工金標,是,否,是
P0006,一般代表樣本,任務,問題回答,,,否,否,人工金標,是,否,是
P0006,一般代表樣本,任務,其他任務,,,否,否,人工金標,否,否,是
P0006,一般代表樣本,內部提示,Codex內部提示,,,否,否,人工金標,否,否,是
P0006,一般代表樣本,領域,數學領域,,,是,是,人工金標,,否,否
P0006,一般代表樣本,任務,教材編寫,,,是,是,人工金標,,否,否
P0007,一般代表樣本,領域,醫學領域,,,否,否,人工金標,是,否,是
P0007,一般代表樣本,領域,工程領域,,,否,否,人工金標,否,否,是
P0007,一般代表樣本,領域,商業領域,,,否,否,人工金標,否,否,是
P0007,一般代表樣本,領域,其他／未明領域,,,是,是,人工金標,否,否,是
P0007,一般代表樣本,任務,編製PPT,,,是,是,人工金標,是,否,是
P0007,一般代表樣本,任務,撰寫文檔,,,是,是,人工金標,否,否,是
P0007,一般代表樣本,任務,撰寫程式,,,否,否,人工金標,否,否,是
P0007,一般代表樣本,任務,問題回答,,,否,否,人工金標,是,否,是
P0007,一般代表樣本,任務,其他任務,,,否,否,人工金標,否,否,是
P0007,一般代表樣本,內部提示,Codex內部提示,,,否,否,人工金標,否,否,是
P0007,一般代表樣本,領域,數學領域,,,否,否,人工金標,,否,否
P0007,一般代表樣本,任務,教材編寫,,,否,否,人工金標,,否,否
P0008,高費用Prompt,領域,醫學領域,,,否,否,人工金標,是,否,是
P0008,高費用Prompt,領域,工程領域,,,是,是,人工金標,否,否,是
P0008,高費用Prompt,領域,商業領域,,,是,是,人工金標,是,否,是
P0008,高費用Prompt,領域,其他／未明領域,,,否,否,人工金標,否,否,是
P0008,高費用Prompt,任務,編製PPT,,,否,否,人工金標,否,否,是
P0008,高費用Prompt,任務,撰寫文檔,,,是,是,人工金標,是,否,是
P0008,高費用Prompt,任務,撰寫程式,,,是,是,人工金標,是,否,是
P0008,高費用Prompt,任務,問題回答,,,不確定,,未解決,是,否,否
P0008,高費用Prompt,任務,其他任務,,,是,是,人工金標,否,否,是
P0008,高費用Prompt,內部提示,Codex內部提示,,,否,否,人工金標,否,否,是
P0008,高費用Prompt,領域,數學領域,,,是,是,人工金標,,否,否
P0008,高費用Prompt,任務,教材編寫,,,否,否,人工金標,,否,否
P0009,未明／規則弱點,領域,醫學領域,,,是,是,人工金標,否,是,否
P0009,未明／規則弱點,領域,工程領域,,,是,是,人工金標,是,是,否
P0009,未明／規則弱點,領域,商業領域,,,否,否,人工金標,否,是,否
P0009,未明／規則弱點,領域,其他／未明領域,,,否,否,人工金標,否,是,否
P0009,未明／規則弱點,任務,編製PPT,,,否,否,人工金標,否,是,否
P0009,未明／規則弱點,任務,撰寫文檔,,,否,否,人工金標,否,是,否
P0009,未明／規則弱點,任務,撰寫程式,,,否,否,人工金標,否,是,否
P0009,未明／規則弱點,任務,問題回答,,,否,否,人工金標,是,是,否
P0009,未明／規則弱點,任務,其他任務,,,否,否,人工金標,否,是,否
P0009,未明／規則弱點,內部提示,Codex內部提示,,,是,是,人工金標,否,是,是
P0009,未明／規則弱點,領域,數學領域,,,否,否,人工金標,,是,否
P0009,未明／規則弱點,任務,教材編寫,,,否,否,人工金標,,是,否
P0010,一般代表樣本,領域,醫學領域,,,是,是,人工金標,是,否,是
P0010,一般代表樣本,領域,工程領域,,,否,否,人工金標,否,否,是
P0010,一般代表樣本,領域,商業領域,,,是,是,人工金標,是,否,是
P0010,一般代表樣本,領域,其他／未明領域,,,是,是,人工金標,否,否,是
P0010,一般代表樣本,任務,編製PPT,,,否,否,人工金標,否,否,是
P0010,一般代表樣本,任務,撰寫文檔,,,是,是,人工金標,否,否,是
P0010,一般代表樣本,任務,撰寫程式,,,否,否,人工金標,是,否,是
P0010,一般代表樣本,任務,問題回答,,,否,否,人工金標,是,否,是
P0010,一般代表樣本,任務,其他任務,,,否,否,人工金標,否,否,是
P0010,一般代表樣本,內部提示,Codex內部提示,,,否,否,人工金標,否,否,是
P0010,一般代表樣本,領域,數學領域,,,否,否,人工金標,,否,否
P0010,一般代表樣本,任務,教材編寫,,,否,否,人工金標,,否,否
P0011,多標籤Prompt,領域,醫學領域,,,否,否,人工金標,是,是,否
P0011,多標籤Prompt,領域,工程領域,,,是,是,人工金標,是,是,否
P0011,多標籤Prompt,領域,商業領域,,,否,否,人工金標,是,是,否
P0011,多標籤Prompt,領域,其他／未明領域,,,是,是,人工金標,否,是,否
P0011,多標籤Prompt,任務,編製PPT,,,否,否,人工金標,否,是,否
P0011,多標籤Prompt,任務,撰寫文檔,,,否,否,人工金標,是,是,否
P0011,多標籤Prompt,任務,撰寫程式,,,是,是,人工金標,是,是,否
P0011,多標籤Prompt,任務,問題回答,,,是,是,人工金標,是,是,否
P0011,多標籤Prompt,任務,其他任務,,,否,否,人工金標,否,是,否
P0011,多標籤Prompt,內部提示,Codex內部提示,,,是,是,人工金標,否,是,是
P0011,多標籤Prompt,領域,數學領域,,,否,否,人工金標,,是,否
P0011,多標籤Prompt,任務,教材編寫,,,否,否,人工金標,,是,否
P0012,一般代表樣本,領域,醫學領域,,,是,是,人工金標,是,否,是
P0012,一般代表樣本,領域,工程領域,,,是,是,人工金標,否,否,是
P0012,一般代表樣本,領域,商業領域,,,是,是,人工金標,是,否,是
P0012,一般代表樣本,領域,其他／未明領域,,,否,否,人工金標,否,否,是
P0012,一般代表樣本,任務,編製PPT,,,是,是,人工金標,是,否,是
P0012,一般代表樣本,任務,撰寫文檔,,,是,是,人工金標,是,否,是
P0012,一般代表樣本,任務,撰寫程式,,,否,否,人工金標,否,否,是
P0012,一般代表樣本,任務,問題回答,,,是,是,人工金標,是,否,是
P0012,一般代表樣本,任務,其他任務,,,否,否,人工金標,否,否,是
P0012,一般代表樣本,內部提示,Codex內部提示,,,否,否,人工金標,否,否,是
P0012,一般代表樣本,領域,數學領域,,,是,是,人工金標,,否,否
P0012,一般代表樣本,任務,教材編寫,,,否,否,人工金標,,否,否
P0013,多標籤Prompt,領域,醫學領域,,,是,是,人工金標,是,否,是
P0013,多標籤Prompt,領域,工程領域,,,是,是,人工金標,否,否,是
P0013,多標籤Prompt,領域,商業領域,,,否,否,人工金標,否,否,是
P0013,多標籤Prompt,領域,其他／未明領域,,,否,否,人工金標,否,否,是
P0013,多標籤Prompt,任務,編製PPT,,,是,是,人工金標,是,否,是
P0013,多標籤Prompt,任務,撰寫文檔,,,是,是,人工金標,是,否,是
P0013,多標籤Prompt,任務,撰寫程式,,,是,是,人工金標,是,否,是
P0013,多標籤Prompt,任務,問題回答,,,是,是,人工金標,是,否,是
P0013,多標籤Prompt,任務,其他任務,,,否,否,人工金標,否,否,是
P0013,多標籤Prompt,內部提示,Codex內部提示,,,否,否,人工金標,否,否,是
P0013,多標籤Prompt,領域,數學領域,,,否,否,人工金標,,否,否
P0013,多標籤Prompt,任務,教材編寫,,,否,否,人工金標,,否,否
P0014,需要對話上下文,領域,醫學領域,,,是,是,人工金標,否,是,否
P0014,需要對話上下文,領域,工程領域,,,是,是,人工金標,是,是,否
P0014,需要對話上下文,領域,商業領域,,,否,否,人工金標,否,是,否
P0014,需要對話上下文,領域,其他／未明領域,,,否,否,人工金標,否,是,否
P0014,需要對話上下文,任務,編製PPT,,,否,否,人工金標,否,是,否
P0014,需要對話上下文,任務,撰寫文檔,,,是,是,人工金標,是,是,否
P0014,需要對話上下文,任務,撰寫程式,,,是,是,人工金標,是,是,否
P0014,需要對話上下文,任務,問題回答,,,是,是,人工金標,是,是,否
P0014,需要對話上下文,任務,其他任務,,,否,否,人工金標,否,是,否
P0014,需要對話上下文,內部提示,Codex內部提示,,,是,是,人工金標,否,是,是
