prompt_sha256,category
00015b508f803a0b71207d7e998af958e3f2fdc8c3a867e744590df8f1d27779,網路 > 地圖載入與顯示問題
00026bc5ad89e44c3b0b41837d820963b5a1685f20ef0531c36f73d70009800e,教材與出題 > 課綱約束核對
000672f6dd0971c9762da278866515e7246b84d974ac8ce3cb3bd5d6551f995c,AI與機器學習 > 文本分類與語意標註
00076048c4313102465213d8200be58dfdc447fb164ce604e84e91b5dd32153c,AI與機器學習 > 文本分類與語意標註
0009298db827c18d4eccf189f4ba30cb2a3c30bfb397ec8b4ef2bbaeef056b84,教材與出題 > 題目生成
000d8df99225c2c186719328e99999056168a13a1fb05fcb7505a004a9ae5ef3,AI與機器學習 > 文本分類與語意標註
0010391a7b1e1dac5f3146f26beabed2956a430eb056bf5138739f540b2d9d52,商業與投資 > 財經新聞與市場追蹤
0012a1b1d834af587d6581e50ddf3e3874e0602d94c60906ee406db76905b914,生活與一般問答 > 路線與方向敘述
00149032278f750096fe34c57e0e1b33f02528d731211200d3b5935a4ddc211f,文件與寫作 > 內容改寫
0016f284bd7493e1850caf021170ec3b351ab16acf0419d46b1c8dab32939bfd,AI與機器學習 > 文本分類與語意標註
0018d77ec5fb91359ab0a08dccb14d7783c7ed75f1d5245d160b5dff32cd65b7,文件與寫作 > 圖片與視覺素材製作
001a63f12ebd0453f19ae0dfb271baa3cfcb442d8fe3da50993756c662a9a447,AI與機器學習 > 文字引導影像生成原理
001d3561660fac79587ac762899fb5ae4d7df6edae506cbd421b70dae69be97f,商業與投資 > 財經新聞與市場追蹤
0023ea4ab9752c2a11e34724e9f466b276ebc3d9199b84152a689d1771104972,其他 > 更新內容顯示問題
00257ca5bbe9e7e834c0d96270a6891424b0c9e4395dd16e71b2eb09b0c95148,AI與機器學習 > 文本分類與語意標註
0027cacaf5133e6efd65c3a4c3b2ec8aca731818e87f2b10c498a7c425457f44,AI與機器學習 > 影像生成與編輯
00280b2d66abe32589e361ad7b8cd68bfa380e26e139604b920fda525fb9649d,程式開發 > 除錯
0029023b21574cf357309eddcca2c44606b80a07544c77eba1412a692ca3fc86,AI與機器學習 > 個人化工作建議生成
