sample_id,sample_group,醫學領域,工程領域,商業領域,其他／未明領域,編製PPT,撰寫文檔,撰寫程式,問題回答,其他任務,Codex內部提示,數學領域,教材編寫,resolved_label_count,unresolved_label_count,reference_profile
P0001,一般代表樣本,否,是,否,否,是,是,是,否,否,否,是,是,12,0,人工12／共識0／未解決0
P0002,高費用Prompt,否,否,否,否,否,否,否,否,否,是,否,否,12,0,人工12／共識0／未解決0
P0003,多標籤Prompt,否,否,否,否,否,否,否,否,否,否,是,是,12,0,人工12／共識0／未解決0
P0004,一般代表樣本,否,否,否,是,否,是,否,否,否,否,否,是,12,0,人工12／共識0／未解決0
P0005,高費用Prompt,否,是,否,否,否,是,是,是,否,否,否,否,12,0,人工12／共識0／未解決0
P0006,一般代表樣本,否,是,否,否,是,否,否,否,否,否,是,是,12,0,人工12／共識0／未解決0
P0007,一般代表樣本,否,否,否,是,是,是,否,否,否,否,否,否,12,0,人工12／共識0／未解決0
P0008,高費用Prompt,否,是,是,否,否,是,是,,是,否,是,否,11,1,人工11／共識0／未解決1
P0009,未明／規則弱點,是,是,否,否,否,否,否,否,否,是,否,否,12,0,人工12／共識0／未解決0
P0010,一般代表樣本,是,否,是,是,否,是,否,否,否,否,否,否,12,0,人工12／共識0／未解決0
P0011,多標籤Prompt,否,是,否,是,否,否,是,是,否,是,否,否,12,0,人工12／共識0／未解決0
P0012,一般代表樣本,是,是,是,否,是,是,否,是,否,否,是,否,12,0,人工12／共識0／未解決0
P0013,多標籤Prompt,是,是,否,否,是,是,是,是,否,否,否,否,12,0,人工12／共識0／未解決0
P0014,需要對話上下文,是,是,否,否,否,是,是,是,否,是,否,否,12,0,人工12／共識0／未解決0
P0015,一般代表樣本,是,是,是,否,是,是,是,是,否,是,否,是,12,0,人工12／共識0／未解決0
P0016,高費用Prompt,否,是,是,否,否,是,是,是,否,是,是,否,12,0,人工12／共識0／未解決0
P0017,未明／規則弱點,否,是,否,否,否,否,否,是,否,否,否,否,12,0,人工3／共識9／未解決0
P0018,一般代表樣本,,是,否,否,否,,,,否,是,否,否,8,4,人工0／共識8／未解決4
P0019,一般代表樣本,,否,否,,是,是,否,否,否,否,否,否,10,2,人工0／共識10／未解決2
P0020,一般代表樣本,否,,是,否,否,是,,,否,,否,否,8,4,人工0／共識8／未解決4
P0021,多標籤Prompt,否,是,否,否,是,,否,否,否,否,是,否,11,1,人工0／共識11／未解決1
P0022,一般代表樣本,,是,否,否,否,否,是,否,否,否,否,否,11,1,人工0／共識11／未解決1
P0023,高費用Prompt,否,是,否,否,否,否,是,,否,否,否,否,11,1,人工0／共識11／未解決1
P0024,多標籤Prompt,是,,,否,否,是,,,否,否,,否,7,5,人工0／共識7／未解決5
P0025,一般代表樣本,否,,,,否,是,,,否,,否,否,6,6,人工0／共識6／未解決6
P0026,一般代表樣本,否,是,否,否,,否,,,否,否,否,是,9,3,人工0／共識9／未解決3
P0027,需要對話上下文,,,,,否,是,,,否,否,否,否,6,6,人工0／共識6／未解決6
P0028,一般代表樣本,是,否,,否,否,否,否,是,否,否,否,否,11,1,人工0／共識11／未解決1
P0029,一般代表樣本,,是,否,,否,,,,否,,否,否,6,6,人工0／共識6／未解決6
P0030,需要對話上下文,否,,否,是,是,,否,否,否,否,否,,9,3,人工0／共識9／未解決3
P0031,Codex內部提示,否,,否,是,否,否,,否,是,,否,否,9,3,人工0／共識9／未解決3
P0032,一般代表樣本,,是,,,,,是,是,否,是,否,,6,6,人工0／共識6／未解決6
P0033,一般代表樣本,,,否,,否,,,,否,否,是,是,6,6,人工0／共識6／未解決6
P0034,高費用Prompt,否,是,否,否,否,,是,,否,否,,否,9,3,人工0／共識9／未解決3
P0035,需要對話上下文,否,,否,,否,是,否,,否,否,否,,8,4,人工0／共識8／未解決4
P0036,一般代表樣本,,是,,否,是,,,,否,否,是,是,7,5,人工0／共識7／未解決5
P0037,一般代表樣本,是,否,否,否,,,,,否,否,否,否,8,4,人工0／共識8／未解決4
P0038,一般代表樣本,是,,否,否,,否,否,否,,否,否,,8,4,人工0／共識8／未解決4
P0039,一般代表樣本,是,,,否,是,,否,否,,否,否,否,8,4,人工0／共識8／未解決4
P0040,未明／規則弱點,否,否,否,是,否,是,,否,否,否,否,否,11,1,人工0／共識11／未解決1
P0041,多標籤Prompt,是,是,否,否,,否,是,,,否,否,否,9,3,人工0／共識9／未解決3
P0042,一般代表樣本,否,,,,否,,否,否,,否,,否,6,6,人工0／共識6／未解決6
P0043,一般代表樣本,否,是,,否,否,,,是,否,,否,否,8,4,人工0／共識8／未解決4
P0044,一般代表樣本,是,,否,否,是,,否,否,,否,否,否,9,3,人工0／共識9／未解決3
P0045,高費用Prompt,否,否,否,是,否,,否,,否,否,否,否,10,2,人工0／共識10／未解決2
P0046,多標籤Prompt,否,是,否,否,,否,,是,否,否,否,否,10,2,人工0／共識10／未解決2
P0047,一般代表樣本,,,否,,,,否,,,否,否,否,5,7,人工0／共識5／未解決7
P0048,一般代表樣本,否,否,否,是,否,,否,否,,否,否,否,10,2,人工0／共識10／未解決2
P0049,多標籤Prompt,是,否,否,否,否,,,,否,否,否,否,9,3,人工0／共識9／未解決3
P0050,需要對話上下文,是,否,是,否,,,否,,否,否,否,,8,4,人工0／共識8／未解決4
P0051,多標籤Prompt,,是,,否,,,,,否,否,是,是,6,6,人工0／共識6／未解決6
P0052,高費用Prompt,,是,,否,否,,是,,否,,否,否,7,5,人工0／共識7／未解決5
P0053,一般代表樣本,,,否,,否,是,,,否,,否,,5,7,人工0／共識5／未解決7
P0054,需要對話上下文,否,是,否,否,否,否,,,,否,否,否,9,3,人工0／共識9／未解決3
P0055,多標籤Prompt,是,,否,否,否,,,是,否,否,否,否,9,3,人工0／共識9／未解決3
P0056,一般代表樣本,否,,是,否,是,是,,否,否,否,否,,9,3,人工0／共識9／未解決3
P0057,一般代表樣本,否,是,,否,否,,,,否,是,否,否,8,4,人工0／共識8／未解決4
P0058,多標籤Prompt,是,否,否,否,是,是,,否,否,否,否,否,11,1,人工0／共識11／未解決1
P0059,多標籤Prompt,,否,是,否,是,,否,否,否,否,否,否,10,2,人工0／共識10／未解決2
P0060,多標籤Prompt,,,否,否,否,是,否,,否,否,否,否,9,3,人工0／共識9／未解決3
P0061,需要對話上下文,否,,否,,,是,,,否,否,否,否,7,5,人工0／共識7／未解決5
P0062,一般代表樣本,,是,,,否,否,是,是,否,是,否,,8,4,人工0／共識8／未解決4
P0063,多標籤Prompt,是,是,否,,否,否,,,否,,否,否,8,4,人工0／共識8／未解決4
P0064,高費用Prompt,否,,否,是,否,,否,,否,否,否,否,9,3,人工0／共識9／未解決3
P0065,一般代表樣本,否,否,是,否,,是,否,,否,否,否,否,10,2,人工0／共識10／未解決2
P0066,高費用Prompt,否,是,否,否,否,否,是,,否,否,,否,10,2,人工0／共識10／未解決2
P0067,高費用Prompt,否,是,,,否,,是,否,否,否,否,否,9,3,人工0／共識9／未解決3
P0068,多標籤Prompt,是,是,否,否,否,,是,,否,否,,,8,4,人工0／共識8／未解決4
P0069,一般代表樣本,是,否,是,否,否,是,否,,否,否,否,否,11,1,人工0／共識11／未解決1
P0070,需要對話上下文,是,,否,否,否,,,,,否,否,,6,6,人工0／共識6／未解決6
P0071,未明／規則弱點,是,,否,否,否,是,,,否,,否,,7,5,人工0／共識7／未解決5
P0072,多標籤Prompt,否,,否,,是,,,否,否,否,是,,7,5,人工0／共識7／未解決5
P0073,未明／規則弱點,否,,否,,否,,,否,否,否,否,否,8,4,人工0／共識8／未解決4
P0074,需要對話上下文,是,,否,否,否,否,,,否,否,否,否,9,3,人工0／共識9／未解決3
P0075,多標籤Prompt,否,是,,,否,否,,,,否,否,否,7,5,人工0／共識7／未解決5
P0076,需要對話上下文,,是,否,否,,是,,,否,否,否,是,8,4,人工0／共識8／未解決4
P0077,Codex內部提示,否,是,,否,否,,,,否,是,否,,7,5,人工0／共識7／未解決5
P0078,一般代表樣本,否,,,,否,,,是,否,,,否,5,7,人工0／共識5／未解決7
P0079,一般代表樣本,,否,是,否,是,否,否,,否,否,,,8,4,人工0／共識8／未解決4
P0080,Codex內部提示,是,是,,否,否,,否,,否,是,否,,8,4,人工0／共識8／未解決4
P0081,一般代表樣本,,否,否,,是,,,否,,否,否,否,7,5,人工0／共識7／未解決5
P0082,未明／規則弱點,,否,否,是,是,否,否,,,否,否,否,9,3,人工0／共識9／未解決3
P0083,Codex內部提示,,否,是,否,否,否,否,是,否,,否,否,10,2,人工0／共識10／未解決2
P0084,一般代表樣本,否,,否,,否,是,,,否,否,否,否,8,4,人工0／共識8／未解決4
P0085,一般代表樣本,,是,否,否,,,,,否,否,是,是,7,5,人工0／共識7／未解決5
P0086,一般代表樣本,是,否,否,否,是,,否,,,否,否,否,9,3,人工0／共識9／未解決3
P0087,一般代表樣本,,是,否,否,否,否,是,,否,否,,是,9,3,人工0／共識9／未解決3
P0088,未明／規則弱點,,,否,,否,,,,否,否,否,否,6,6,人工0／共識6／未解決6
P0089,一般代表樣本,否,是,否,否,否,否,是,,否,否,否,否,11,1,人工0／共識11／未解決1
P0090,一般代表樣本,,是,是,否,否,否,否,,否,否,否,否,10,2,人工0／共識10／未解決2
P0091,一般代表樣本,否,否,否,,是,否,,,否,否,是,是,9,3,人工0／共識9／未解決3
P0092,未明／規則弱點,,,,,否,是,否,,否,否,否,否,7,5,人工0／共識7／未解決5
P0093,未明／規則弱點,是,否,是,否,否,否,否,是,否,否,否,否,12,0,人工0／共識12／未解決0
P0094,高費用Prompt,否,是,是,否,否,,,,否,否,否,否,9,3,人工0／共識9／未解決3
P0095,多標籤Prompt,否,是,否,否,否,,是,否,否,否,否,否,11,1,人工0／共識11／未解決1
