request_id,category
request_9bcc6e7ddbfbf102,AI與機器學習 > 模型評測
request_bd918b629055b6b6,AI與機器學習 > 模型評測
request_6999bd62e5c05c52,學習與研究 > 臨床試驗資訊
request_b1b91987b1c21236,AI與機器學習 > 模型評測
request_d433b253f0b6dc82,AI與機器學習 > 模型評測
request_8ad31bf14810d4d8,系統與維運 > 通知與排程管理
request_d32a398315fa8f97,系統與維運 > 通知與排程管理
request_a544c039e7febeb6,系統與維運 > 通知與排程管理
request_6703cd8d39e7c582,系統與維運 > 通知與排程管理
request_cb09c7837b187e72,其他 > 任務接續與流程執行
request_d33bc9b65c2a78f6,其他 > 任務接續與流程執行
request_2e3b41ec2d0b2ec2,其他 > 任務接續與流程執行
request_54748361d314079c,其他 > 任務接續與流程執行
request_2f1e6dd539fee794,文件與寫作 > 對話標題與任務索引
request_701bd4f654863edd,文件與寫作 > 文件閱讀與理解
request_bef127ed7d496868,其他 > 任務接續與流程執行
request_761b3a68d5bbe969,其他 > 任務接續與流程執行
request_5acf8b41baf42f63,其他 > 任務接續與流程執行
request_d97e484d9dceff84,其他 > 任務接續與流程執行
request_7e2d343c7f14b3c8,其他 > 任務接續與流程執行
request_3ff5017df5d1eccd,其他 > 任務接續與流程執行
request_54b2e69b7cb99ad8,文件與寫作 > PowerPoint與簡報製作
request_a31dd88351d8a22b,文件與寫作 > PowerPoint與簡報製作
request_fde63eacf4f2e24d,文件與寫作 > PowerPoint與簡報製作
request_b166de94ebc590d7,文件與寫作 > PowerPoint與簡報製作
request_dfe211367004696a,文件與寫作 > PowerPoint與簡報製作
request_9c6e56fc9700a019,文件與寫作 > PowerPoint與簡報製作
request_8541bb1f425d89e9,文件與寫作 > PowerPoint與簡報製作
request_c06b12aef787e08e,文件與寫作 > PowerPoint與簡報製作
request_4a0d654bf98c2425,文件與寫作 > PowerPoint與簡報製作
request_1287b82b8a68f965,文件與寫作 > PowerPoint與簡報製作
request_937d0e4ec28fb0c8,文件與寫作 > PowerPoint與簡報製作
request_e42c50effc1f95f1,文件與寫作 > PowerPoint與簡報製作
request_49eb19dcca888dbf,文件與寫作 > PowerPoint與簡報製作
request_f70b379defed5923,文件與寫作 > PowerPoint與簡報製作
request_2a5eefb25a563bae,AI與機器學習 > 模型評測
request_49cf7cbc42d17bbd,AI與機器學習 > 模型評測
request_79b0e7eefabd3d3e,AI與機器學習 > 模型評測
request_5e63f1c2447846ef,AI與機器學習 > 模型評測
request_5d8688c94d097b60,學習與研究 > 研究工具與研究限制
request_b553a154dd8f69b2,學習與研究 > 研究工具與研究限制
request_b27b19b722c7bc65,學習與研究 > 研究工具與研究限制
request_13970ad9e4183908,學習與研究 > 研究工具與研究限制
request_4b12bbc086dcbcd8,學習與研究 > 研究工具與研究限制
request_52ed73bf4185c2f9,學習與研究 > 研究工具與研究限制
request_bb9a126d9a5a2020,學習與研究 > 生醫文獻內容研讀
request_c1523b1882df54a8,學習與研究 > 研究工具與研究限制
request_da857a0914dfb2a1,學習與研究 > 研究工具與研究限制
request_6fc78141c2e71285,學習與研究 > 研究工具與研究限制
request_be28b8f34559d99c,文件與寫作 > PowerPoint與簡報製作
request_d41618edac99764f,文件與寫作 > PowerPoint與簡報製作
request_7e2fd333aa4a203c,學習與研究 > 研究工具與研究限制
request_1ddc488123b781f4,學習與研究 > 研究工具與研究限制
request_a3453084139e0426,文件與寫作 > 對話標題與任務索引
request_296c1cbe1ba5ee49,其他 > 更新內容顯示問題
request_4892a1c60b6d0de0,學習與研究 > 研究工具與研究限制
request_a7f76250f4b6b4a4,文件與寫作 > PowerPoint與簡報製作
request_1adda12dcf8ae271,AI與機器學習 > 提示工程
request_39172665125d5157,系統與維運 > 通知與排程管理
request_e104a864abdbf9dd,系統與維運 > 通知與排程管理
request_e63b0b4424c284c8,系統與維運 > 通知與排程管理
request_7a9497177a160375,系統與維運 > 通知與排程管理
request_2e5834d88c66281a,系統與維運 > 通知與排程管理
request_fa64c82b580469a3,系統與維運 > 通知與排程管理
request_866f136d56ec98ca,系統與維運 > 通知與排程管理
request_d92e3e5faf47bc08,系統與維運 > 通知與排程管理
request_d88316d7c003b456,系統與維運 > 通知與排程管理
request_4c3a10188a5b39c3,程式開發 > 程式碼審查與測試
request_bd54ec5bdfde3cdf,AI與機器學習 > 模型評測
request_e0d8ec136f1adda2,程式開發 > 程式碼審查與測試
request_899ebe73e6480d26,程式開發 > Excel巨集與辦公自動化
request_30ccf7e4392ddb44,程式開發 > Excel巨集與辦公自動化
request_f9f5b3fd2cbce911,程式開發 > Excel巨集與辦公自動化
request_67c1a7ce4343dfd3,文件與寫作 > 標題與主旨處理
request_17059c59fc5fa4a6,AI與機器學習 > 影像生成與編輯
request_0a3c2e3a097f2299,AI與機器學習 > 影像生成與編輯
request_72ff3f05bfe41f3d,AI與機器學習 > 影像生成與編輯
request_90a58d604e4c684f,AI與機器學習 > 影像生成與編輯
request_66de254918e48359,AI與機器學習 > 影像生成與編輯
request_888b257e017f940c,AI與機器學習 > 影像生成與編輯
request_82954ca33d5b0e2c,AI與機器學習 > 影像生成與編輯
request_81f4bdaf14b0d363,AI與機器學習 > 影像生成與編輯
request_5ee0dfd9d0360a03,AI與機器學習 > 影像生成與編輯
request_88d8767797a3bdc4,AI與機器學習 > 影像生成與編輯
request_650be59bc5f9a577,AI與機器學習 > 影像生成與編輯
request_76da51595f88fc10,AI與機器學習 > 影像生成與編輯
request_023ccdc701cbf8b7,AI與機器學習 > 影像生成與編輯
request_54f0adecdd61aed0,AI與機器學習 > 影像生成與編輯
request_812bba7346d8fd2e,AI與機器學習 > 影像生成與編輯
request_c45f39ae8a2bb0f4,AI與機器學習 > 影像生成與編輯
request_50670c20c130b4e8,AI與機器學習 > 影像生成與編輯
request_645729dcfcd89873,AI與機器學習 > 個人化工作建議生成
request_21740bf4fd97e9c7,AI與機器學習 > 個人化工作建議生成
request_b6c090fae6cbaa7e,AI與機器學習 > 個人化工作建議生成
request_a98d76cab2177dff,AI與機器學習 > 個人化工作建議生成
request_3493ef14ccca2975,AI與機器學習 > 個人化工作建議生成
request_9c8955a74acb7f32,AI與機器學習 > 個人化工作建議生成
request_79b6905dc71c79a4,AI與機器學習 > 個人化工作建議生成
request_27dd2a3b40623127,AI與機器學習 > 個人化工作建議生成
request_e1c8b55bda6870df,AI與機器學習 > 建議內容安全審核
request_d2ab1270f1d7c074,程式開發 > 前端開發
request_80dcdfb2a642a7ac,AI與機器學習 > 個人化工作建議生成
request_399a946e58129999,程式開發 > 行動App與Flutter
request_4c6cb0ce26c96c5e,AI與機器學習 > 個人化工作建議生成
request_afe336fcbf3d7aec,程式開發 > 行動App與Flutter
request_523034bfcf3d3bb1,AI與機器學習 > 個人化工作建議生成
request_cc9f395ab40253c9,程式開發 > 行動App與Flutter
request_7b88dcb9f095bdb6,AI與機器學習 > 個人化工作建議生成
request_372df60f5cd5d32c,程式開發 > 行動App與Flutter
request_a5992185f1f33eae,AI與機器學習 > 個人化工作建議生成
request_0da2acbd9252eaab,程式開發 > 行動App與Flutter
request_e1747d780b8f8d60,AI與機器學習 > 個人化工作建議生成
request_3a39d73046feb16d,AI與機器學習 > 個人化工作建議生成
request_f5decc8b750b75df,程式開發 > 行動App與Flutter
request_1d30073bad02fd1e,AI與機器學習 > 建議內容安全審核
request_98ffb06765d98c86,程式開發 > 行動App與Flutter
request_b0458b87aabd044c,程式開發 > 行動App與Flutter
request_1e6036db19d5b9b2,程式開發 > 行動App與Flutter
request_54de3d6dd0f908f6,程式開發 > 行動App與Flutter
request_72d02d051bfd38f3,程式開發 > 行動App與Flutter
request_66d7b20ad9293d29,程式開發 > 行動App與Flutter
request_3de7ff7438620774,程式開發 > 行動App與Flutter
request_fa2c4c1bfca40a8e,程式開發 > 行動App與Flutter
request_d45702edf4e0a927,程式開發 > 行動App與Flutter
request_b1360adb441a10e4,程式開發 > 行動App與Flutter
request_d4c652cfd8942aac,程式開發 > 行動App與Flutter
request_dce6b76c7befce8d,程式開發 > 行動App與Flutter
request_b16bd1ad6f280736,程式開發 > 行動App與Flutter
request_f09021b0d93eb855,程式開發 > 行動App與Flutter
request_ecce901157d16d9f,程式開發 > 行動App與Flutter
request_0563d9c2392fc0ed,程式開發 > 行動App與Flutter
request_baf383cf007d6e9c,程式開發 > 行動App與Flutter
request_1c9d7ea1509d705e,程式開發 > 行動App與Flutter
request_161ec6fddf25e5a3,程式開發 > 行動App與Flutter
request_2ec338f5801e8a8b,程式開發 > 行動App與Flutter
request_9e7446e818d87d6d,程式開發 > 行動App與Flutter
request_7d754ab3ebe187be,商業與投資 > 保險與退休規劃
request_b50adef2060476bc,文件與寫作 > 企劃書與申請文件
request_2b79cc721c8403ed,程式開發 > 行動App與Flutter
request_3c5f8088030c7e5f,文件與寫作 > 企劃書與申請文件
request_89dbfb3552b2afc6,程式開發 > 行動App與Flutter
request_db88908058aacc12,文件與寫作 > 企劃書與申請文件
request_c0282c54f789ab28,文件與寫作 > 企劃書與申請文件
request_91e3ead5f6f4ebaa,程式開發 > 行動App與Flutter
request_ba7c93292b35ad95,文件與寫作 > 企劃書與申請文件
request_c1ed6846378af373,程式開發 > 行動App與Flutter
request_118fa81c6d10e368,文件與寫作 > 企劃書與申請文件
request_aef769de8d6521ae,程式開發 > 行動App與Flutter
request_380bb050af41b1da,文件與寫作 > 企劃書與申請文件
request_fa02ce7b42994140,程式開發 > 行動App與Flutter
request_c6b96a0887982325,文件與寫作 > 企劃書與申請文件
request_4179b030ba5e28e3,文件與寫作 > 企劃書與申請文件
request_bf569c3820ed6655,程式開發 > 行動App與Flutter
request_071c1504367d342f,文件與寫作 > 企劃書與申請文件
request_219e91a62ffb5a15,文件與寫作 > 企劃書與申請文件
request_7bd463deac9233b5,文件與寫作 > 創意文案與社群回覆
request_22cae43519420254,文件與寫作 > 企劃書與申請文件
request_59694c7af3d42096,文件與寫作 > 企劃書與申請文件
request_b065081426552530,文件與寫作 > 企劃書與申請文件
request_4ee46f3855861793,程式開發 > 前端開發
request_d7988749b9504ddf,文件與寫作 > 企劃書與申請文件
request_ed3d8f8358928147,學習與研究 > 文獻搜尋與引用
request_2d87c58a166f33e2,文件與寫作 > 企劃書與申請文件
request_5a51e07f3a354da3,文件與寫作 > 企劃書與申請文件
request_f842618863580fd6,程式開發 > 前端開發
request_8a3c65bffc0a3fcb,文件與寫作 > 企劃書與申請文件
request_8417db7b4939e734,程式開發 > 前端開發
request_31ba7ee5b92cf435,AI與機器學習 > 模型評測
request_33274c7537c0ac90,AI與機器學習 > 模型評測
request_da6466ec539ab856,AI與機器學習 > 模型評測
request_6f7c727611076873,AI與機器學習 > 模型評測
request_a8d2156c1f7fe00c,AI與機器學習 > 模型評測
request_69b567b33e987478,文件與寫作 > 企劃書與申請文件
request_6109cbb011bdafcb,程式開發 > 前端開發
request_1b6929cb258e95ce,程式開發 > 前端開發
request_0c9833720679fd25,程式開發 > 前端開發
request_e218a2b8311cff13,程式開發 > 前端開發
request_7952d00ac8e9f3ba,文件與寫作 > 企劃書與申請文件
request_258be09e88726f6b,程式開發 > 前端開發
request_95c3202051e85dee,程式開發 > 前端開發
request_f6ad2b4aa7dec303,程式開發 > 前端開發
request_00f57a84b575445c,程式開發 > 前端開發
request_a56a22ac9dee88da,程式開發 > 前端開發
request_752f3ca64a3fad8c,程式開發 > 前端開發
request_43dc38d9132a13c6,程式開發 > 前端開發
request_25fc3bdadc1ce7dc,程式開發 > 前端開發
request_b21487fd0b5bc724,程式開發 > 前端開發
request_5a46200ed20ece96,程式開發 > 前端開發
request_b751b8887cad1916,程式開發 > 前端開發
request_736c99c5822670bc,程式開發 > 前端開發
request_0fd903979103fc70,程式開發 > Git
request_cf015db389bdcc35,程式開發 > Git
request_616811fa728e0563,程式開發 > Git
request_d0fb6cc681704273,程式開發 > Git
request_47bc39a1b90b3259,AI與機器學習 > 個人化工作建議生成
request_ac7d4c1bd39f324f,AI與機器學習 > 個人化工作建議生成
request_60ef9d22db90ddf9,AI與機器學習 > 個人化工作建議生成
request_c946e2c1cf933b2f,AI與機器學習 > 個人化工作建議生成
request_c468cd05411f484c,AI與機器學習 > 個人化工作建議生成
request_53dd1d95fe5cca67,AI與機器學習 > 個人化工作建議生成
request_ac639cee761805f4,AI與機器學習 > 個人化工作建議生成
request_661d5698b8aee04f,AI與機器學習 > 個人化工作建議生成
request_5c0c8bfdadcd2feb,AI與機器學習 > 個人化工作建議生成
request_8264ce9c55336189,AI與機器學習 > 個人化工作建議生成
request_426f5db766b00233,AI與機器學習 > 個人化工作建議生成
request_1e81dab70d395528,AI與機器學習 > 個人化工作建議生成
request_9f52564619bcda73,AI與機器學習 > 個人化工作建議生成
request_ea713a11906be69f,AI與機器學習 > 個人化工作建議生成
request_c2a8545cdb288e05,AI與機器學習 > 個人化工作建議生成
request_f843d5c80dc1fab5,AI與機器學習 > 個人化工作建議生成
request_a87c0f248fbe88cc,AI與機器學習 > 個人化工作建議生成
request_aeec1d221b53ccfd,AI與機器學習 > 建議內容安全審核
request_33d6e2465a0b0616,文件與寫作 > 翻譯
request_0f249fd4ee9775e7,其他 > 修改要求與修訂接續
request_e96fcafc4b586fd6,其他 > 更新內容顯示問題
request_dddf675134823636,其他 > 更新內容顯示問題
request_70e58f9e56d5e548,其他 > 更新內容顯示問題
request_7513e7ec94e906d8,其他 > 更新內容顯示問題
request_f339594d14787219,其他 > 更新內容顯示問題
